target	domain	phyla	class	order	family	genus	species	strain
binchicken_b13	d__Archaea	0	0	0	0	0	0	0
binchicken_b13	d__Bacteria	0	0	0	0	0	0	0
binchicken_b15	d__Archaea	0	0	0	0	0	0	0
binchicken_b15	d__Bacteria	0	0	0	0	0	0	0
binchicken_b17	d__Archaea	0	0	0	0	0	0	0
binchicken_b17	d__Bacteria	0	0	0	0	0	0	0
binchicken_b18	d__Archaea	0	0	0	0	0	0	0
binchicken_b18	d__Bacteria	0	0	0	0	0	0	0
binchicken_b20	d__Archaea	0	0	0	0	0	0	0
binchicken_b20	d__Bacteria	0	0	0	0	0	0	0
binchicken_b21	d__Archaea	0	0	0	0	0	0	0
binchicken_b21	d__Bacteria	0	0	0	0	0	0	0
binchicken_b22	d__Archaea	0	0	0	0	0	0	0
binchicken_b22	d__Bacteria	0	0	0	0	0	0	0
binchicken_b24	d__Archaea	0	0	0	0	0	0	0
binchicken_b24	d__Bacteria	0	0	0	0	0	0	0
binchicken_b27	d__Archaea	0	0	0	0	0	0	0
binchicken_b27	d__Bacteria	0	0	0	0	0	0	0
binchicken_b28	d__Archaea	0	0	0	0	0	0	0
binchicken_b28	d__Bacteria	0	0	0	0	0	0	0
binchicken_b6	d__Archaea	0	0	0	0	0	0	0
binchicken_b6	d__Bacteria	0	0	0	0	0	0	0
