sci_name	parent_name	superparent_name
ctenophore metagenome	organismal metagenomes	metagenomes
human milk metagenome	organismal metagenomes	metagenomes
eukaryotic aquatic metagenome	organismal metagenomes	metagenomes
fish gut metagenome	organismal metagenomes	metagenomes
mouse brain metagenome	organismal metagenomes	metagenomes
termite metagenome	organismal metagenomes	metagenomes
human gut metagenome gcode 4	organismal metagenomes	metagenomes
aquatic viral metagenome	organismal metagenomes	metagenomes
equid metagenome	organismal metagenomes	metagenomes
sponge metagenome	organismal metagenomes	metagenomes
bee metagenome	organismal metagenomes	metagenomes
sea squirt metagenome	organismal metagenomes	metagenomes
marine eukaryotic metagenome	organismal metagenomes	metagenomes
root metagenome	organismal metagenomes	metagenomes
nematode metagenome	organismal metagenomes	metagenomes
human hair metagenome	organismal metagenomes	metagenomes
crustacean metagenome	organismal metagenomes	metagenomes
phage metagenome	organismal metagenomes	metagenomes
nervous system metagenome	organismal metagenomes	metagenomes
internal organ metagenome	organismal metagenomes	metagenomes
horse metagenome	organismal metagenomes	metagenomes
sea cucumber metagenome	organismal metagenomes	metagenomes
human vaginal metagenome	organismal metagenomes	metagenomes
marsupial metagenome	organismal metagenomes	metagenomes
canine metagenome	organismal metagenomes	metagenomes
insect metagenome	organismal metagenomes	metagenomes
sea urchin metagenome	organismal metagenomes	metagenomes
human saliva metagenome	organismal metagenomes	metagenomes
human tracheal metagenome	organismal metagenomes	metagenomes
fungus metagenome	organismal metagenomes	metagenomes
mollusc metagenome	organismal metagenomes	metagenomes
human metagenome	organismal metagenomes	metagenomes
sheep metagenome	organismal metagenomes	metagenomes
chicken gut metagenome	organismal metagenomes	metagenomes
claw, hoof, horn & nail metagenome	organismal metagenomes	metagenomes
invertebrate metagenome	organismal metagenomes	metagenomes
koala metagenome	organismal metagenomes	metagenomes
ant metagenome	organismal metagenomes	metagenomes
fossil metagenome	organismal metagenomes	metagenomes
zebrafish metagenome	organismal metagenomes	metagenomes
moss metagenome	organismal metagenomes	metagenomes
coral metagenome	organismal metagenomes	metagenomes
gill metagenome	organismal metagenomes	metagenomes
leaf metagenome	organismal metagenomes	metagenomes
human sputum metagenome	organismal metagenomes	metagenomes
bird metagenome	organismal metagenomes	metagenomes
feces metagenome	organismal metagenomes	metagenomes
parasite metagenome	organismal metagenomes	metagenomes
mouse skin metagenome	organismal metagenomes	metagenomes
mite metagenome	organismal metagenomes	metagenomes
frog metagenome	organismal metagenomes	metagenomes
masonry metagenome	ecological metagenomes	metagenomes
paper pulp metagenome	ecological metagenomes	metagenomes
fuel tank metagenome	ecological metagenomes	metagenomes
HVAC metagenome	ecological metagenomes	metagenomes
oil production facility metagenome	ecological metagenomes	metagenomes
fermentation metagenome	ecological metagenomes	metagenomes
compost metagenome	ecological metagenomes	metagenomes
bioretention column metagenome	ecological metagenomes	metagenomes
coal metagenome	ecological metagenomes	metagenomes
urban metagenome	ecological metagenomes	metagenomes
food metagenome	ecological metagenomes	metagenomes
subsurface metagenome	ecological metagenomes	metagenomes
plankton metagenome	ecological metagenomes	metagenomes
hypersaline lake metagenome	ecological metagenomes	metagenomes
salt marsh metagenome	ecological metagenomes	metagenomes
rock porewater metagenome	ecological metagenomes	metagenomes
biofloc metagenome	ecological metagenomes	metagenomes
aerosol metagenome	ecological metagenomes	metagenomes
food contamination metagenome	ecological metagenomes	metagenomes
termitarium metagenome	ecological metagenomes	metagenomes
tobacco metagenome	ecological metagenomes	metagenomes
crude oil metagenome	ecological metagenomes	metagenomes
volcano metagenome	ecological metagenomes	metagenomes
hyphosphere metagenome	ecological metagenomes	metagenomes
oil metagenome	ecological metagenomes	metagenomes
lobster shelll metagenome	ecological metagenomes	metagenomes
detritusphere metagenome	ecological metagenomes	metagenomes
mine drainage metagenome	ecological metagenomes	metagenomes
clothing metagenome	ecological metagenomes	metagenomes
root associated fungus metagenome	ecological metagenomes	metagenomes
insect work metagenome	ecological metagenomes	metagenomes
clinical metagenome	ecological metagenomes	metagenomes
bioreactor metagenome	ecological metagenomes	metagenomes
interstitial water metagenome	ecological metagenomes	metagenomes
lagoon metagenome	ecological metagenomes	metagenomes
air conditioner metagenome	ecological metagenomes	metagenomes
book metagenome	ecological metagenomes	metagenomes
alkali spring metagenome	ecological metagenomes	metagenomes
moonmilk metagenome	ecological metagenomes	metagenomes
mud metagenome	ecological metagenomes	metagenomes
oil sands metagenome	ecological metagenomes	metagenomes
iron metagenome	ecological metagenomes	metagenomes
bioanode metagenome	ecological metagenomes	metagenomes
cold spring metagenome	ecological metagenomes	metagenomes
saltern metagenome	ecological metagenomes	metagenomes
stromatolite metagenome	ecological metagenomes	metagenomes
marine metagenome	ecological metagenomes	metagenomes
serofluid metagenome	ecological metagenomes	metagenomes
ant fungus garden metagenome	ecological metagenomes	metagenomes
estuary metagenome	ecological metagenomes	metagenomes
microbial fuel cell metagenome	ecological metagenomes	metagenomes
biofilter metagenome	ecological metagenomes	metagenomes
solid waste metagenome	ecological metagenomes	metagenomes
soda lake metagenome	ecological metagenomes	metagenomes
salt metagenome	ecological metagenomes	metagenomes
mine tailings metagenome	ecological metagenomes	metagenomes
milk metagenome	ecological metagenomes	metagenomes
museum specimen metagenome	ecological metagenomes	metagenomes
neuston metagenome	ecological metagenomes	metagenomes
watershed metagenome	ecological metagenomes	metagenomes
sludge metagenome	ecological metagenomes	metagenomes
food production metagenome	ecological metagenomes	metagenomes
rhizoplane metagenome	ecological metagenomes	metagenomes
gas well metagenome	ecological metagenomes	metagenomes
mucilage metagenome	ecological metagenomes	metagenomes
parchment metagenome	ecological metagenomes	metagenomes
steel metagenome	ecological metagenomes	metagenomes
straw metagenome	ecological metagenomes	metagenomes
monument metagenome	ecological metagenomes	metagenomes
groundwater metagenome	ecological metagenomes	metagenomes
cow dung metagenome	ecological metagenomes	metagenomes
silage metagenome	ecological metagenomes	metagenomes
sulfur spring metagenome	ecological metagenomes	metagenomes
slag metagenome	ecological metagenomes	metagenomes
medical waste metagenome	ecological metagenomes	metagenomes
beach sand metagenome	ecological metagenomes	metagenomes
saline spring metagenome	ecological metagenomes	metagenomes
forest metagenome	ecological metagenomes	metagenomes
termite fungus garden metagenome	ecological metagenomes	metagenomes
aquifer metagenome	ecological metagenomes	metagenomes
anaerobic digester metagenome	ecological metagenomes	metagenomes
cold seep metagenome	ecological metagenomes	metagenomes
activated sludge metagenome	ecological metagenomes	metagenomes
mushroom spawn bag metagenome	ecological metagenomes	metagenomes
dairy metagenome	ecological metagenomes	metagenomes
activated carbon metagenome	ecological metagenomes	metagenomes
rice paddy metagenome	ecological metagenomes	metagenomes
musk metagenome	ecological metagenomes	metagenomes
desalination cell metagenome	ecological metagenomes	metagenomes
surface metagenome	ecological metagenomes	metagenomes
air metagenome	ecological metagenomes	metagenomes
decomposition metagenome	ecological metagenomes	metagenomes
pond metagenome	ecological metagenomes	metagenomes
leachate metagenome	ecological metagenomes	metagenomes
electrolysis cell metagenome	ecological metagenomes	metagenomes
concrete metagenome	ecological metagenomes	metagenomes
soil metagenome	ecological metagenomes	metagenomes
animal product metagenome	ecological metagenomes	metagenomes
snowblower vent metagenome	ecological metagenomes	metagenomes
snow metagenome	ecological metagenomes	metagenomes
medicine metagenome	ecological metagenomes	metagenomes
bog metagenome	ecological metagenomes	metagenomes
